Product,Bom Lines / Product Quantity,Bom Lines / Used For,Bom Lines / Product
MLW-30/F30,1,,WGB HOUSING MLW-30/F30
,1,,WGB COVER MLW-30/F30
,1,,WORMWHEEL MLW-30/F30
,1,,WORM ø 95x83L - EN19
,1,,WORM SHAFT ø 45x341L - EN8
,2,FOR 5 & 9,SPACER ø 60x10L
,1,,HANDWHEEL ø 750mm
,2,,"SPIRAL PIN ø 1/2""x70L"
,2,,BEARING NTB 6085+GS+WS
,2,,BEARING KT 404527
,12,FOR 1 & 2,HEX BOLT M8x30L - M.S
,1,FOR 5 & 7,HEX BOLT M8x15L - M.S
,1,FOR 3 & 5,PARALLEL KEY 8x7x40
,1,FOR 7 & 12,WASHER ID 9 x OD 35 x 1 THK
MLW-15/F30,1,,WGB HOUSING MLW-15/F30
,1,,WGB COVER MLW-15/F30
,1,,WORMWHEEL MLW-15/F30
,1,,WORM ø 95x83L - EN19
,1,,WORM SHAFT ø 45x341L - EN8
,2,FOR 5 & 9,SPACER ø 60x10L
,1,,HANDWHEEL ø 750mm
,2,,"SPIRAL PIN ø 1/2""x70L"
,2,,BEARING NTB 6085+GS+WS
,2,,BEARING KT 404527
,12,FOR 1 & 2,HEX BOLT M8x30L - M.S
,1,FOR 5 & 7,HEX BOLT M8x15L - M.S
,1,FOR 3 & 5,PARALLEL KEY 8x7x40
,1,FOR 7 & 12,WASHER ID 9 x OD 35 x 1 THK
SLM-09/F12,1,,WGB HOUSING SLM-09/F12
,1,,WGB COVER SLM-09/F12
,1,,QUADRANT SLM-09/F12
,1,,WORM ø 30x57L - EN19
,1,,WORM SHAFT ø 20x158L - EN8
,2,,SPIRAL PIN ø 5x20L
,2,,BEARING AXK 1528+AS+AS
,2,,O RING ID 50mm x 3mm
,4,FOR 1 & 2,HEX BOLT M6x20L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M8x40L
,2,FOR 1 & 5,BUSH ø 22x13L
,1,,HANDWHEEL ø 300mm
,1,FOR 5 & 12,PARALLEL KEY 6x6x32
,1,FOR 3,INDICATOR PLATE ø 48mm
,1,FOR 12,INDICATOR PLATE ø 50mm
,1,FOR 5 & 12,HEX BOLT M8x15L - C.S. Gr. 4.0
,1,FOR 12 & 16,WASHER ID 9 x OD 25 x 1 THK
SLM-12/F10 EO,1,,WGB HOUSING SLM-12/F10 EO
,1,,WGB COVER SLM-12/F10 EO
,1,,QUADRANT SLM-12/F10 EO
,1,,WORM ø 40x57L - EN19
,1,,WORM SHAFT ø 25x245L - EN8
,2,,SPACER ø 40x10L
,1,FOR 1 & 5 (TOP),BUSH ø 32x14L
,1,FOR 1 & 5 (BOTTOM),BUSH ø 32x14L
,2,,SPIRAL PIN ø 5x27L
,2,,O RING ID 50mm x 3mm
,6,FOR 1 & 2,HEX BOLT M6x20L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M8x40L
,1,FOR 5,PARALLEL KEY 6x6x20
,1,FOR 3,INDICATOR PLATE ø 45mm
SLM-14/F12,1,,WGB HOUSING SLM-14/F12
,1,,WGB COVER SLM-14/F12
,1,,QUADRANT SLM-14/F12
,1,,WORM ø 40x57L - EN19
,1,,WORM SHAFT ø 20x218L - EN8
,2,,SPIRAL PIN ø 5x25L
,2,,BEARING AXK 2035+AS+AS
,2,,O RING ID 60mm x 3mm
,6,FOR 1 & 2,HEX BOLT M6x20L - H.T. Gr. 8.8
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M10x50L
,2,FOR 1 & 5,BUSH ø 30x13L
,1,,HANDWHEEL ø 300mm
